Title,Company,Field,MinScore,Positions
Dental Hygienist Internship,"Jimenez, Carney and Foley",physiotherapy,80,7
Registered Nurse Placement,"Roth, Rose and Cross",nutrition,80,8
Dental Hygienist Internship,Russell-Banks,nutrition,90,10
Dental Hygienist Internship,Martin Ltd,immunology,80,3
Physician Internship,Lambert Group,nutrition,80,9
Physician Internship,"Lin, Le and Griffith",nursing,80,6
Pharmacist Placement,Kane-Lindsey,nursing,80,4
Dental Hygienist Internship,"Garcia, Hale and Murray",surgery,70,7
Pharmacist Placement,"Matthews, Hubbard and Acosta",nursing,80,7
Registered Nurse Placement,Green-Smith,dentistry,80,8
Medical Laboratory Technician Opportunity,Allison Inc,nutrition,80,6
Surgeon Opportunity,Chase and Sons,surgery,85,7
Physical Therapist Internship,Werner Ltd,nursing,90,10
Emergency Medical Technician (EMT) Opportunity,King-Anderson,dentistry,90,4
Medical Laboratory Technician Opportunity,Green PLC,surgery,80,8
Radiologic Technologist Opportunity,"Malone, Williams and Ruiz",dentistry,90,9
Pharmacist Placement,"Cox, Davis and Matthews",nutrition,80,6
Physician Internship,"Gomez, Murray and Pierce",surgery,90,10
Physician Internship,"Washington, Walker and Henderson",physiotherapy,90,8
Pharmacist Placement,Aguilar Group,surgery,80,3
Dental Hygienist Internship,Campbell-Patterson,nutrition,80,4
Emergency Medical Technician (EMT) Opportunity,"Wheeler, Rivera and Williams",surgery,80,9
Medical Assistant Internship,"Gregory, Thompson and Rivera",immunology,90,8
Emergency Medical Technician (EMT) Opportunity,"Kelley, Hughes and Anderson",nutrition,90,10
Dental Hygienist Internship,Johnson LLC,nursing,90,10
Medical Laboratory Technician Opportunity,Garcia-Dougherty,nursing,90,3
Medical Assistant Internship,"Rogers, Thomas and Alexander",surgery,90,8
Dental Hygienist Internship,"Garza, White and Silva",physiotherapy,80,8
Radiologic Technologist Opportunity,Smith Group,nutrition,80,8
Medical Laboratory Technician Opportunity,"Anderson, Warner and Stewart",nursing,90,7
Emergency Medical Technician (EMT) Opportunity,"Walker, Callahan and Young",physiotherapy,90,6
Surgeon Opportunity,Brown-Hill,physiotherapy,70,7
Physical Therapist Internship,Newman-Soto,dentistry,90,9
Radiologic Technologist Opportunity,"Smith, Lee and Curtis",nursing,90,6
Medical Laboratory Technician Opportunity,Simmons-Barry,dentistry,90,7
Pharmacist Placement,"Jenkins, Lopez and Moon",immunology,90,10
Medical Laboratory Technician Opportunity,Levy PLC,nutrition,90,4
Registered Nurse Placement,"Wilson, Howard and Evans",immunology,90,8
Physician Internship,Parker LLC,immunology,80,3
Emergency Medical Technician (EMT) Opportunity,Scott Group,dentistry,95,10
Emergency Medical Technician (EMT) Opportunity,Martinez PLC,dentistry,70,3
Registered Nurse Placement,Payne-Gray,surgery,90,4
Surgeon Opportunity,Maynard and Sons,nursing,90,7
Emergency Medical Technician (EMT) Opportunity,King-Wood,surgery,90,7
Physical Therapist Internship,"Haas, Berry and Gonzalez",physiotherapy,90,3
Medical Assistant Internship,"Levy, Roach and Adams",surgery,90,9
Surgeon Opportunity,Higgins-Gutierrez,immunology,80,8
Medical Assistant Internship,"Hoover, Davis and Kemp",nutrition,80,10
Pharmacist Placement,Adams-Hall,dentistry,70,6
Registered Nurse Placement,Jones PLC,nursing,70,3
Emergency Medical Technician (EMT) Opportunity,Choi Inc,nutrition,80,10
Physician Internship,Velez-Stone,surgery,90,7
Emergency Medical Technician (EMT) Opportunity,Perez Inc,nutrition,70,9
Pharmacist Placement,Harmon LLC,dentistry,80,3
Medical Assistant Internship,"Kim, Richardson and Castaneda",physiotherapy,90,9
Medical Assistant Internship,Ramirez Group,nutrition,70,7
Dental Hygienist Internship,Hudson-Barrett,nutrition,95,7
Medical Laboratory Technician Opportunity,"Hill, Cooke and Smith",surgery,90,5
Medical Laboratory Technician Opportunity,"Ramos, Roy and Phillips",nursing,80,6
Medical Assistant Internship,"Reid, Rice and Espinoza",nutrition,70,3
Surgeon Opportunity,"Miller, Jackson and Lucas",dentistry,90,8
Medical Assistant Internship,"Thomas, Novak and Bishop",nutrition,95,5
Surgeon Opportunity,Gonzales-Phillips,immunology,80,4
Dental Hygienist Internship,Moore-Jordan,dentistry,80,4
Medical Assistant Internship,Hobbs Ltd,dentistry,80,6
Medical Laboratory Technician Opportunity,"Hartman, Diaz and Sawyer",physiotherapy,80,3
Dental Hygienist Internship,"Alvarez, Alvarado and Johnson",surgery,70,7
Physician Internship,Butler-Shea,dentistry,90,8
Dental Hygienist Internship,"Cochran, Summers and Osborne",dentistry,80,3
Radiologic Technologist Opportunity,Henry-Knight,surgery,70,7
Radiologic Technologist Opportunity,Burns-Marshall,nursing,80,10
Pharmacist Placement,"Wagner, Cunningham and Riley",immunology,90,6
Physical Therapist Internship,Boyer Inc,nursing,90,10
Surgeon Opportunity,Adams and Sons,nursing,80,10
Radiologic Technologist Opportunity,Fields and Sons,nursing,80,7
Physical Therapist Internship,Boyer PLC,surgery,85,9
Emergency Medical Technician (EMT) Opportunity,"Patterson, Nelson and Watson",immunology,80,3
Physician Internship,Ross-Smith,physiotherapy,80,5
Medical Laboratory Technician Opportunity,"Cunningham, King and Welch",physiotherapy,90,10
Physician Internship,Baker Group,immunology,80,9
Physician Internship,Wolf Group,nutrition,80,10
Registered Nurse Placement,Miles-Merritt,nutrition,90,9
Physical Therapist Internship,"Henson, Hobbs and Palmer",dentistry,95,9
Emergency Medical Technician (EMT) Opportunity,"Stewart, Martin and Rosario",physiotherapy,80,5
Medical Laboratory Technician Opportunity,Abbott-Reed,nursing,80,9
Emergency Medical Technician (EMT) Opportunity,Daniels-Ramirez,nutrition,80,10
Medical Assistant Internship,Fitzgerald-Obrien,physiotherapy,70,5
Registered Nurse Placement,Sharp-Robinson,dentistry,70,8
Physical Therapist Internship,Mcdonald LLC,immunology,90,4
Physician Internship,"Rose, Walker and Clark",dentistry,80,7
Pharmacist Placement,"Johnson, Miller and Larson",dentistry,95,5
Pharmacist Placement,Woodard-Bernard,nutrition,75,7
Medical Assistant Internship,Martinez-Woodard,immunology,70,5
Emergency Medical Technician (EMT) Opportunity,Thompson PLC,nutrition,70,6
Surgeon Opportunity,"Dawson, Castro and Young",dentistry,80,9
Medical Assistant Internship,Johnson Ltd,physiotherapy,75,4
Physician Internship,"Smith, Garcia and Cooper",immunology,70,7
Surgeon Opportunity,"Arellano, Terry and Butler",nutrition,90,10
Emergency Medical Technician (EMT) Opportunity,"Garcia, Rodriguez and Washington",immunology,85,7
Dental Hygienist Internship,Bell and Sons,nutrition,90,9
